n,n*log2(n),12*sqrt(n),1/n,n^(log2 n),100n^2+6n,n^0.51,n^2-324,50*n^0.5,2n^3,3^n,(2^32)*n,log2(n)
2,2,16.9706,0.5,2,412,1.42405,-320,70.7107,16,9,8.58993e+09,1
3,4.75489,20.7846,0.333333,5.70452,918,1.75118,-315,86.6025,54,27,1.28849e+10,1.58496
4,8,24,0.25,16,1624,2.02792,-308,100,128,81,1.71799e+10,2
5,11.6096,26.8328,0.2,41.9718,2530,2.27235,-299,111.803,250,243,2.14748e+10,2.32193
6,15.5098,29.3939,0.166667,102.681,3636,2.49377,-288,122.474,432,729,2.57698e+10,2.58496
7,19.6515,31.749,0.142857,235.771,4942,2.69774,-275,132.288,686,2187,3.00648e+10,2.80735
8,24,33.9411,0.125,512,6448,2.88786,-260,141.421,1024,6561,3.43597e+10,3
9,28.5293,36,0.111111,1058.95,8154,3.06665,-243,150,1458,19683,3.86547e+10,3.16993
10,33.2193,37.9473,0.1,2098.59,10060,3.23594,-224,158.114,2000,59049,4.29497e+10,3.32193
11,38.0537,39.7995,0.0909091,4005.22,12166,3.39712,-203,165.831,2662,177147,4.72446e+10,3.45943
12,43.0196,41.5692,0.0833333,7393.06,14472,3.55126,-180,173.205,3456,531441,5.15396e+10,3.58496
13,48.1057,43.2666,0.0769231,13245.9,16978,3.69923,-155,180.278,4394,1.59432e+06,5.58346e+10,3.70044
14,53.303,44.8999,0.0714286,23105.5,19684,3.84172,-128,187.083,5488,4.78297e+06,6.01295e+10,3.80735
15,58.6034,46.4758,0.0666667,39342.3,22590,3.9793,-99,193.649,6750,1.43489e+07,6.44245e+10,3.90689
16,64,48,0.0625,65536,25696,4.11246,-68,200,8192,4.30467e+07,6.87195e+10,4
17,69.4869,49.4773,0.0588235,107008,29002,4.24159,-35,206.155,9826,1.2914e+08,7.30144e+10,4.08746
18,75.0587,50.9117,0.0555556,171551,32508,4.36706,0,212.132,11664,3.8742e+08,7.73094e+10,4.16993
19,80.7106,52.3068,0.0526316,270429,36214,4.48915,37,217.945,13718,1.16226e+09,8.16044e+10,4.24793
20,86.4386,53.6656,0.05,419718,40120,4.60814,76,223.607,16000,3.48678e+09,8.58993e+10,4.32193
21,92.2387,54.9909,0.047619,642106,44226,4.72424,117,229.129,18522,1.04604e+10,9.01943e+10,4.39232
22,98.1075,56.285,0.0454545,969264,48532,4.83766,160,234.521,21296,3.13811e+10,9.44893e+10,4.45943
23,104.042,57.55,0.0434783,1.44497e+06,53038,4.94859,205,239.792,24334,9.41432e+10,9.87842e+10,4.52356
24,110.039,58.7878,0.0416667,2.1292e+06,57744,5.05717,252,244.949,27648,2.8243e+11,1.03079e+11,4.58496
25,116.096,60,0.04,3.10336e+06,62650,5.16356,301,250,31250,8.47289e+11,1.07374e+11,4.64386
26,122.211,61.1882,0.0384615,4.4771e+06,67756,5.26789,352,254.951,35152,2.54187e+12,1.11669e+11,4.70044
27,128.382,62.3538,0.037037,6.39696e+06,73062,5.37026,405,259.808,39366,7.6256e+12,1.15964e+11,4.75489
28,134.606,63.498,0.0357143,9.05737e+06,78568,5.4708,460,264.575,43904,2.28768e+13,1.20259e+11,4.80735
29,140.881,64.622,0.0344828,1.27146e+07,84274,5.56959,517,269.258,48778,6.86304e+13,1.24554e+11,4.85798
30,147.207,65.7267,0.0333333,1.7704e+07,90180,5.66672,576,273.861,54000,2.05891e+14,1.28849e+11,4.90689
31,153.58,66.8132,0.0322581,2.44624e+07,96286,5.76228,637,278.388,59582,6.17673e+14,1.33144e+11,4.9542
32,160,67.8823,0.03125,3.35544e+07,102592,5.85634,700,282.843,65536,1.85302e+15,1.37439e+11,5
33,166.465,68.9348,0.030303,4.5707e+07,109098,5.94897,765,287.228,71874,5.55906e+15,1.41734e+11,5.04439
34,172.974,69.9714,0.0294118,6.18503e+07,115804,6.04024,832,291.548,78608,1.66772e+16,1.46029e+11,5.08746
35,179.525,70.993,0.0285714,8.31691e+07,122710,6.1302,901,295.804,85750,5.00315e+16,1.50324e+11,5.12928
36,186.117,72,0.0277778,1.11165e+08,129816,6.21891,972,300,93312,1.50095e+17,1.54619e+11,5.16993
37,192.75,72.9932,0.027027,1.47732e+08,137122,6.30642,1045,304.138,101306,4.50284e+17,1.58914e+11,5.20945
38,199.421,73.973,0.0263158,1.95249e+08,144628,6.39278,1120,308.221,109744,1.35085e+18,1.63209e+11,5.24793
39,206.131,74.94,0.025641,2.56694e+08,152334,6.47803,1197,312.25,118638,4.05256e+18,1.67504e+11,5.2854
40,212.877,75.8947,0.025,3.35775e+08,160240,6.56222,1276,316.228,128000,1.21577e+19,1.71799e+11,5.32193
41,219.66,76.8375,0.0243902,4.37093e+08,168346,6.64538,1357,320.156,137842,3.6473e+19,1.76094e+11,5.35755
42,226.477,77.7689,0.0238095,5.66338e+08,176652,6.72755,1440,324.037,148176,1.09419e+20,1.80389e+11,5.39232
43,233.329,78.6893,0.0232558,7.3052e+08,185158,6.80877,1525,327.872,159014,3.28257e+20,1.84684e+11,5.42626
44,240.215,79.599,0.0227273,9.38248e+08,193864,6.88907,1612,331.662,170368,9.84771e+20,1.88979e+11,5.45943
45,247.133,80.4984,0.0222222,1.20005e+09,202770,6.96849,1701,335.41,182250,2.95431e+21,1.93274e+11,5.49185
46,254.084,81.388,0.0217391,1.52878e+09,211876,7.04704,1792,339.116,194672,8.86294e+21,1.97568e+11,5.52356
47,261.066,82.2679,0.0212766,1.94006e+09,221182,7.12475,1885,342.783,207646,2.65888e+22,2.01863e+11,5.55459
48,268.078,83.1384,0.0208333,2.45284e+09,230688,7.20167,1980,346.41,221184,7.97664e+22,2.06158e+11,5.58496
49,275.121,84,0.0204082,3.09001e+09,240394,7.2778,2077,350,235298,2.39299e+23,2.10453e+11,5.61471
50,282.193,84.8528,0.02,3.8792e+09,250300,7.35317,2176,353.553,250000,7.17898e+23,2.14748e+11,5.64386
51,289.294,85.6971,0.0196078,4.8536e+09,260406,7.42781,2277,357.071,265302,2.15369e+24,2.19043e+11,5.67243
52,296.423,86.5332,0.0192308,6.05304e+09,270712,7.50173,2380,360.555,281216,6.46108e+24,2.23338e+11,5.70044
53,303.58,87.3613,0.0188679,7.52515e+09,281218,7.57497,2485,364.005,297754,1.93832e+25,2.27633e+11,5.72792
54,310.764,88.1816,0.0185185,9.32677e+09,291924,7.64752,2592,367.423,314928,5.81497e+25,2.31928e+11,5.75489
