toss,running_p_head
100,0.700000
200,0.690000
300,0.680000
400,0.687500
500,0.676000
600,0.675000
700,0.677143
800,0.673750
900,0.675556
1000,0.673000
1100,0.678182
1200,0.676667
1300,0.682308
1400,0.683571
1500,0.684000
1600,0.686250
1700,0.688824
1800,0.691667
1900,0.694737
2000,0.694000
2100,0.693333
2200,0.691818
2300,0.693478
2400,0.693750
2500,0.696400
2600,0.695385
2700,0.694444
2800,0.696786
2900,0.698621
3000,0.697667
3100,0.696452
3200,0.696875
3300,0.695758
3400,0.695294
3500,0.696000
3600,0.695000
3700,0.696216
3800,0.694737
3900,0.695897
4000,0.698000
4100,0.697561
4200,0.698095
4300,0.698140
4400,0.699091
4500,0.699333
4600,0.700000
4700,0.698298
4800,0.698333
4900,0.698980
5000,0.698800
5100,0.699608
5200,0.698654
5300,0.698491
5400,0.698333
5500,0.698182
5600,0.697679
5700,0.697544
5800,0.697586
5900,0.697288
6000,0.698333
6100,0.698361
6200,0.699032
6300,0.698254
6400,0.698125
6500,0.697231
6600,0.697121
6700,0.698507
6800,0.698971
6900,0.698696
7000,0.698429
7100,0.698451
7200,0.697361
7300,0.697671
7400,0.697297
7500,0.697867
7600,0.697763
7700,0.697532
7800,0.697179
7900,0.697468
8000,0.696875
8100,0.696790
8200,0.695976
8300,0.695904
8400,0.696310
8500,0.696235
8600,0.696163
8700,0.696092
8800,0.697159
8900,0.696742
9000,0.696444
9100,0.696593
9200,0.695761
9300,0.694946
9400,0.695532
9500,0.695368
9600,0.695729
9700,0.695567
9800,0.696531
9900,0.696768
10000,0.696600
10100,0.695941
10200,0.695686
10300,0.695922
10400,0.695673
10500,0.695429
10600,0.695472
10700,0.695234
10800,0.695093
10900,0.694587
11000,0.695364
11100,0.694955
11200,0.694911
11300,0.694159
11400,0.693860
11500,0.693739
11600,0.693448
11700,0.694188
11800,0.693051
11900,0.693950
12000,0.694250
12100,0.694132
12200,0.694836
12300,0.695285
12400,0.695645
12500,0.695760
12600,0.695476
12700,0.695276
12800,0.694688
12900,0.694341
13000,0.694231
13100,0.694275
13200,0.694697
13300,0.695113
13400,0.695224
13500,0.695259
13600,0.695294
13700,0.695839
13800,0.695725
13900,0.695755
14000,0.695786
14100,0.695816
14200,0.695986
14300,0.696154
14400,0.696042
14500,0.696069
14600,0.696096
14700,0.695782
14800,0.695878
14900,0.696107
15000,0.695733
15100,0.695762
15200,0.695789
15300,0.695817
15400,0.695909
15500,0.695742
15600,0.695897
15700,0.695541
15800,0.695316
15900,0.695409
16000,0.695875
16100,0.695714
16200,0.695802
16300,0.696319
16400,0.696463
16500,0.696364
16600,0.696566
16700,0.696287
16800,0.696310
16900,0.696331
17000,0.696353
17100,0.696550
17200,0.696163
17300,0.696416
17400,0.696379
17500,0.696114
17600,0.696648
17700,0.696780
17800,0.697191
17900,0.696927
18000,0.696833
18100,0.696796
18200,0.696703
18300,0.696667
18400,0.696467
18500,0.696595
18600,0.696398
18700,0.696631
18800,0.696489
18900,0.696508
19000,0.696421
19100,0.696597
19200,0.696250
19300,0.695907
19400,0.696082
19500,0.696154
19600,0.695816
19700,0.696142
19800,0.696263
19900,0.695729
20000,0.696100
20100,0.696169
20200,0.696287
20300,0.696404
20400,0.696422
20500,0.696244
20600,0.696019
20700,0.696329
20800,0.696587
20900,0.696842
21000,0.696571
21100,0.696540
21200,0.696651
21300,0.696761
21400,0.696682
21500,0.696512
21600,0.696296
21700,0.695991
21800,0.696193
21900,0.696119
22000,0.696000
22100,0.695837
22200,0.696081
22300,0.696054
22400,0.695982
22500,0.696000
22600,0.696327
22700,0.696211
22800,0.696272
22900,0.696288
23000,0.696130
23100,0.695714
23200,0.695733
23300,0.695494
23400,0.695385
23500,0.695574
23600,0.695297
23700,0.695232
23800,0.695378
23900,0.695356
24000,0.695500
24100,0.695477
24200,0.695785
24300,0.695926
24400,0.696025
24500,0.695837
24600,0.695569
24700,0.695709
24800,0.695968
24900,0.695703
25000,0.695400
25100,0.695618
25200,0.695437
25300,0.695534
25400,0.696102
25500,0.696000
25600,0.696211
25700,0.696109
25800,0.695969
25900,0.696062
26000,0.696115
26100,0.696092
26200,0.696260
26300,0.696350
26400,0.696212
26500,0.696226
26600,0.696203
26700,0.696292
26800,0.696343
26900,0.696283
27000,0.696407
27100,0.696310
27200,0.696250
27300,0.695934
27400,0.696095
27500,0.695891
27600,0.696268
27700,0.696426
27800,0.696367
27900,0.696237
28000,0.696179
28100,0.696014
28200,0.696241
28300,0.696254
28400,0.696268
28500,0.696211
28600,0.696049
28700,0.695854
28800,0.695972
28900,0.696228
29000,0.696310
29100,0.696220
29200,0.696233
29300,0.696007
29400,0.696224
29500,0.696237
29600,0.695811
29700,0.695926
29800,0.696074
29900,0.696054
30000,0.696033
30100,0.696013
30200,0.696192
30300,0.695941
30400,0.695921
30500,0.696098
30600,0.696307
30700,0.696384
30800,0.696526
30900,0.696634
31000,0.696613
31100,0.696431
31200,0.696346
31300,0.696390
31400,0.696242
31500,0.696317
31600,0.696361
31700,0.696341
31800,0.696384
31900,0.696520
32000,0.696281
32100,0.696417
32200,0.696491
32300,0.696533
32400,0.696574
32500,0.696492
32600,0.696411
32700,0.696483
32800,0.696433
32900,0.696596
33000,0.696515
33100,0.696767
33200,0.696777
33300,0.696877
33400,0.696946
33500,0.696925
33600,0.696964
33700,0.697003
33800,0.696834
33900,0.696873
34000,0.696941
34100,0.697097
34200,0.697047
34300,0.697201
34400,0.697442
34500,0.697594
34600,0.697659
34700,0.697608
34800,0.697644
34900,0.697679
35000,0.697743
35100,0.697892
35200,0.697869
35300,0.697875
35400,0.697938
35500,0.697972
35600,0.697865
35700,0.697787
35800,0.697737
35900,0.697465
36000,0.697333
36100,0.697368
36200,0.697293
36300,0.697438
36400,0.697500
36500,0.697288
36600,0.697186
36700,0.697221
36800,0.697310
36900,0.697344
37000,0.697486
37100,0.697385
37200,0.697285
37300,0.697319
37400,0.697299
37500,0.697147
37600,0.697048
37700,0.696976
37800,0.696905
37900,0.697045
38000,0.697053
38100,0.697139
38200,0.696990
38300,0.697050
38400,0.697031
38500,0.697169
38600,0.697332
38700,0.697313
38800,0.697242
38900,0.697326
39000,0.697359
39100,0.697494
39200,0.697296
39300,0.697099
39400,0.697005
39500,0.697089
39600,0.697020
39700,0.696952
39800,0.696859
39900,0.696842
40000,0.696825
40100,0.696808
40200,0.696866
40300,0.696998
40400,0.697054
40500,0.696914
40600,0.697020
40700,0.697076
40800,0.697157
