toss,running_p_head
100,0.550000
200,0.520000
300,0.526667
400,0.512500
500,0.500000
600,0.498333
700,0.490000
800,0.503750
900,0.500000
1000,0.499000
1100,0.501818
1200,0.496667
1300,0.493077
1400,0.497143
1500,0.500000
1600,0.500000
1700,0.502353
1800,0.495556
1900,0.494737
2000,0.495000
2100,0.494286
2200,0.493636
2300,0.493913
2400,0.496250
2500,0.495600
2600,0.496538
2700,0.497407
2800,0.495000
2900,0.492759
3000,0.495000
3100,0.496774
3200,0.498125
3300,0.497273
3400,0.496765
3500,0.497429
3600,0.498611
3700,0.499189
3800,0.501053
3900,0.500256
4000,0.500000
4100,0.499512
4200,0.499048
4300,0.497442
4400,0.497045
4500,0.497778
4600,0.495870
4700,0.494468
4800,0.493958
4900,0.492857
5000,0.494400
5100,0.494706
5200,0.495000
5300,0.494717
5400,0.494259
5500,0.494727
5600,0.495000
5700,0.494561
5800,0.495172
5900,0.495593
6000,0.495167
6100,0.494098
6200,0.495000
6300,0.495397
6400,0.495469
6500,0.495231
6600,0.495758
6700,0.496119
6800,0.497206
6900,0.497826
7000,0.498000
7100,0.497042
7200,0.497222
7300,0.497397
7400,0.496892
7500,0.496933
7600,0.495395
7700,0.496234
7800,0.496795
7900,0.496962
8000,0.497625
8100,0.498395
8200,0.498659
8300,0.499277
8400,0.499881
8500,0.499765
8600,0.500465
8700,0.501379
8800,0.500795
8900,0.500899
9000,0.501111
9100,0.500989
9200,0.501630
9300,0.501613
9400,0.500745
9500,0.500632
9600,0.501146
9700,0.501134
9800,0.501020
9900,0.501212
10000,0.501100
10100,0.501089
10200,0.500980
10300,0.500874
10400,0.500577
10500,0.500762
10600,0.500660
10700,0.500841
10800,0.500833
10900,0.501651
11000,0.501364
11100,0.501171
11200,0.501071
11300,0.500973
11400,0.500965
11500,0.502174
11600,0.502500
11700,0.502222
11800,0.501525
11900,0.501261
12000,0.501083
12100,0.500579
12200,0.501148
12300,0.500813
12400,0.500484
12500,0.500720
12600,0.500873
12700,0.500236
12800,0.500313
12900,0.500388
13000,0.500154
13100,0.499618
13200,0.500379
13300,0.500301
13400,0.500299
13500,0.500444
13600,0.500221
13700,0.500365
13800,0.501014
13900,0.501439
14000,0.501429
14100,0.501702
14200,0.502113
14300,0.502098
14400,0.501528
14500,0.501448
14600,0.501370
14700,0.501633
14800,0.501284
14900,0.501342
15000,0.501200
15100,0.501192
15200,0.501184
15300,0.501046
15400,0.501688
15500,0.502323
15600,0.502756
15700,0.502675
15800,0.502785
15900,0.502642
16000,0.502625
16100,0.502795
16200,0.502531
16300,0.501963
16400,0.501951
16500,0.500970
16600,0.501386
16700,0.501138
16800,0.500833
16900,0.500651
17000,0.499941
17100,0.499298
17200,0.498721
17300,0.499075
17400,0.499080
17500,0.498743
17600,0.498977
17700,0.499492
17800,0.499831
17900,0.499832
18000,0.499611
18100,0.499503
18200,0.499286
18300,0.499617
18400,0.500217
18500,0.500486
18600,0.500538
18700,0.500321
18800,0.500372
18900,0.500794
19000,0.500895
19100,0.501099
19200,0.501042
19300,0.501192
19400,0.501237
19500,0.501179
19600,0.501480
19700,0.501015
19800,0.500556
19900,0.500503
20000,0.500750
20100,0.500896
20200,0.500545
20300,0.500542
20400,0.500735
20500,0.500976
20600,0.501019
20700,0.501063
20800,0.501010
20900,0.501100
21000,0.501000
21100,0.500995
21200,0.500849
21300,0.500704
21400,0.500561
21500,0.500837
21600,0.500880
21700,0.500876
21800,0.500826
21900,0.500548
22000,0.500182
22100,0.500181
22200,0.500090
22300,0.500269
22400,0.500938
22500,0.500622
22600,0.500354
22700,0.500793
22800,0.500877
22900,0.500830
23000,0.501348
23100,0.501602
23200,0.501422
23300,0.501717
23400,0.501453
23500,0.501745
23600,0.501695
23700,0.501603
23800,0.501261
23900,0.501130
24000,0.500917
24100,0.500871
24200,0.501074
24300,0.501111
24400,0.501066
24500,0.500980
24600,0.500894
24700,0.501053
24800,0.501250
24900,0.501365
25000,0.501200
25100,0.501514
25200,0.501587
25300,0.501383
25400,0.500906
25500,0.500745
25600,0.501094
25700,0.500934
25800,0.500543
25900,0.500656
26000,0.500923
26100,0.501073
26200,0.500763
26300,0.500570
26400,0.500682
26500,0.500943
26600,0.501090
26700,0.501236
26800,0.501343
26900,0.501078
27000,0.500926
27100,0.500701
27200,0.500772
27300,0.500842
27400,0.500657
27500,0.500509
27600,0.500688
27700,0.500650
27800,0.500612
27900,0.500502
28000,0.500357
28100,0.500641
28200,0.500496
28300,0.500671
28400,0.500387
28500,0.500105
28600,0.500000
28700,0.500070
28800,0.500139
28900,0.500035
29000,0.500069
29100,0.500069
29200,0.499966
29300,0.499898
29400,0.499796
29500,0.499458
29600,0.499291
29700,0.499360
29800,0.499430
29900,0.499298
30000,0.499433
30100,0.499635
30200,0.499404
30300,0.499439
30400,0.499572
30500,0.499836
30600,0.499869
30700,0.499935
30800,0.499675
30900,0.499612
31000,0.499742
31100,0.499518
31200,0.499455
31300,0.499361
31400,0.499522
31500,0.499937
31600,0.500127
31700,0.500284
31800,0.500000
31900,0.500251
32000,0.500250
32100,0.500312
32200,0.500311
32300,0.500279
32400,0.500185
32500,0.500308
32600,0.500552
32700,0.500826
32800,0.500732
32900,0.500699
33000,0.500848
33100,0.500876
33200,0.500813
33300,0.500601
33400,0.501018
33500,0.500836
33600,0.500804
33700,0.500801
33800,0.500828
33900,0.500708
34000,0.500647
34100,0.500733
