n,optimised_comparisons,naive_comparisons
10,45,45
20,187,190
30,434,435
40,770,780
50,1225,1225
60,1767,1770
70,2370,2415
80,3115,3160
90,3960,4005
100,4830,4950
110,5940,5995
120,7125,7140
130,8265,8385
140,9454,9730
150,11147,11175
160,12549,12720
170,14245,14365
180,16055,16110
190,17919,17955
200,19600,19900
210,21669,21945
220,23655,24090
230,26334,26335
240,28215,28680
250,31089,31125
260,33592,33670
270,36270,36315
280,38994,39060
290,41377,41905
300,44354,44850
310,47892,47895
320,50949,51040
330,54054,54285
340,57134,57630
350,60939,61075
360,64344,64620
370,67800,68265
380,71190,72010
390,75750,75855
400,79475,79800
410,83104,83845
420,87954,87990
430,91605,92235
440,96489,96580
450,101019,101025
460,105164,105570
470,110062,110215
480,114807,114960
490,119652,119805
500,124189,124750
510,129585,129795
520,134835,134940
530,140065,140185
540,145002,145530
550,150380,150975
560,155890,156520
570,162099,162165
580,166782,167910
590,173524,173755
600,178797,179700
610,185555,185745
620,191590,191890
630,197835,198135
640,204074,204480
650,210105,210925
660,217460,217470
670,223790,224115
680,230839,230860
690,236885,237705
700,244272,244650
710,251134,251695
720,258375,258840
730,265734,266085
740,273024,273430
750,279885,280875
760,287859,288420
770,295630,296065
780,302864,303810
790,311304,311655
800,319135,319600
810,327474,327645
820,335049,335790
830,342709,344035
840,352289,352380
850,360672,360825
860,369234,369370
870,376934,378015
880,386295,386760
890,393394,395605
900,402659,404550
910,413490,413595
920,422212,422740
930,430032,431985
940,441120,441330
950,447372,450775
960,459144,460320
970,469062,469965
980,479682,479710
990,489489,489555
1000,497355,499500
1010,509440,509545
1020,519129,519690
1030,529782,529935
1040,540259,540280
1050,549500,550725
1060,561165,561270
1070,569569,571915
1080,580245,582660
1090,593439,593505
1100,604414,604450
1110,615305,615495
1120,626604,626640
1130,637255,637885
1140,647745,649230
1150,659190,660675
1160,671625,672220
1170,679305,683865
1180,691605,695610
1190,706465,707455
1200,719075,719400
1210,729960,731445
1220,743535,743590
1230,755370,755835
1240,768170,768180
1250,777222,780625
1260,792180,793170
1270,804780,805815
1280,818284,818560
1290,831174,831405
1300,843972,844350
1310,855250,857395
1320,869265,870540
1330,883379,883785
1340,896427,897130
1350,910539,910575
1360,922895,924120
1370,935419,937765
1380,948809,951510
1390,965055,965355
1400,979024,979300
1410,990789,993345
1420,1006164,1007490
1430,1018575,1021735
1440,1035045,1036080
1450,1045272,1050525
1460,1064574,1065070
1470,1077635,1079715
1480,1094135,1094460
1490,1108639,1109305
1500,1123509,1124250
1510,1139105,1139295
1520,1154395,1154440
1530,1168865,1169685
1540,1181627,1185030
1550,1198764,1200475
1560,1215767,1216020
1570,1230180,1231665
1580,1242945,1247410
1590,1262694,1263255
1600,1278990,1279200
1610,1292319,1295245
1620,1311324,1311390
1630,1324395,1327635
1640,1341424,1343980
1650,1357869,1360425
1660,1376619,1376970
1670,1386945,1393615
1680,1409765,1410360
1690,1423200,1427205
1700,1443897,1444150
1710,1460114,1461195
1720,1469694,1478340
1730,1494207,1495585
1740,1498734,1512930
1750,1525019,1530375
1760,1542142,1547920
1770,1563485,1565565
1780,1580682,1583310
1790,1600525,1601155
1800,1617504,1619100
1810,1637054,1637145
1820,1655245,1655290
1830,1672407,1673535
1840,1689395,1691880
1850,1710049,1710325
1860,1723092,1728870
1870,1743237,1747515
1880,1765480,1766260
1890,1784244,1785105
1900,1803015,1804050
1910,1820092,1823095
1920,1840287,1842240
1930,1852707,1861485
1940,1877590,1880830
1950,1892274,1900275
1960,1916739,1919820
1970,1937449,1939465
1980,1958469,1959210
1990,1977624,1979055
2000,1996225,1999000
