n,bruteforce_comparisons,bruteforce_time_sec,sorted_time_sec
500,124750,0.000057,0.000034
1000,499500,0.000208,0.000093
1500,1124250,0.000488,0.000104
2000,1999000,0.000836,0.000147
2500,3123750,0.001326,0.000185
3000,4498500,0.001860,0.000226
3500,6123250,0.002619,0.000266
4000,7998000,0.003328,0.000332
4500,10122750,0.004318,0.000410
5000,12497500,0.005260,0.000422
5500,15122250,0.006248,0.000441
6000,17997000,0.007468,0.000477
6500,21121750,0.008646,0.000618
7000,24496500,0.010061,0.000560
7500,28121250,0.011550,0.000640
8000,31996000,0.013324,0.000674
